"","Mgmt","Dist","ft","group","-2","100"
"1","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,10.5105140932619
"2","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,64.683462819413
"3","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,0.0122164281834004
"4","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,113.947778797609
"5","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,10.054802041962
"6","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,91.7015461889507
"7","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,0.0566954329376093
"8","No Cut","No Disturbance","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,95.9201657890354
"9","No Cut","No Disturbance","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,8.19589777558248
"10","No Cut","No Disturbance","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,102.378382520214
"11","No Cut","No Disturbance","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,0.120391933996313
"12","No Cut","No Disturbance","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,71.6342426904547
"13","No Cut","No Disturbance","Northern Hardwood - 'Xeric'","12.5 ~ 27.5 cm",40.3688804057717,7.90875810960277
"14","No Cut","No Disturbance","Northern Hardwood - 'Xeric'","27.5 ~ 52.5 cm",77.8318501004084,110.728264373415
"15","No Cut","No Disturbance","Northern Hardwood - 'Xeric'","< 12.5 cm",21.6243959022244,0.462581777248838
"16","No Cut","No Disturbance","Northern Hardwood - 'Xeric'","> 52.5 cm",17.2738264667447,72.652072139674
"17","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","12.5 ~ 27.5 cm",27.3732172861385,1.58846808791648
"18","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","27.5 ~ 52.5 cm",77.1411046495411,0
"19","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","< 12.5 cm",11.5484064496081,17.946435738973
"20","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Mesic'","> 52.5 cm",31.7605867519842,NA
"21","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","12.5 ~ 27.5 cm",34.3135931045564,51.1294325661594
"22","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","27.5 ~ 52.5 cm",72.6745294510142,0.583555506644194
"23","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","< 12.5 cm",16.3740760642681,13.1563608068216
"24","No Cut","Extreme Weather","Oak-Mixed Hardwood - 'Xeric'","> 52.5 cm",19.9858973069853,NA
"25","No Cut","Extreme Weather","Northern Hardwood - 'Mesic'","12.5 ~ 27.5 cm",32.5528715755771,5.18568968484431
"26","No Cut","Extreme Weather","Northern Hardwood - 'Mesic'","27.5 ~ 52.5 cm",76.8842264677143,0.0103362064098483
"27","No Cut","Extreme Weather","Northern Hardwood - 'Mesic'","< 12.5 cm",21.770910225479,14.249022957343
"28","No Cut","Extreme Weather","Northern Hardwood - 'Mesic'","> 52.5 cm",19.0967641549625,NA
